Neighborhood,Price,Bedroom,Bathroom,House Space,Description
"Brooklyn",500000,3,2,1500,"Cozy 3 bedroom 2 bathroom home in the heart of Brooklyn"
"Manhattan",1000000,2,1,1200,"Beautiful 2 bedroom 1 bathroom apartment with stunning city views"
"Queens",700000,4,3,2000,"Spacious 4 bedroom 3 bathroom house with a large backyard"
"Bronx",400000,2,1,1000,"Charming 2 bedroom 1 bathroom starter home in a quiet neighborhood"
"Staten Island",600000,3,2,1800,"Renovated 3 bedroom 2 bathroom colonial style house with a modern kitchen"
"Harlem",800000,5,3,2500,"Large 5 bedroom 3 bathroom townhouse with original architectural details"
"Upper East Side",1500000,4,4,3000,"Luxurious 4 bedroom 4 bathroom penthouse with panoramic city views"
"Chelsea",1200000,3,2,1800,"Modern 3 bedroom 2 bathroom condo with high-end finishes"
"Williamsburg",900000,2,2,1600,"Sleek 2 bedroom 2 bathroom loft with exposed brick walls and industrial accents"
"Greenwich Village",1100000,1,1,1000,"Cozy 1 bedroom 1 bathroom apartment in a historic brownstone building"
"Park Slope",850000,3,2,1700,"Bright and sunny 3 bedroom 2 bathroom duplex with a private terrace"
"Tribeca",2000000,4,3,3500,"Spacious 4 bedroom 3 bathroom loft with a gourmet kitchen and open floor plan"
"DUMBO",1300000,2,2,1500,"Chic 2 bedroom 2 bathroom condo with views of the Brooklyn Bridge"
"Long Island City",750000,1,1,900,"Modern 1 bedroom 1 bathroom apartment with a rooftop deck"
"Fort Greene",950000,3,2,1600,"Renovated 3 bedroom 2 bathroom brownstone with a backyard garden"
"Astoria",650000,2,1,1100,"Cozy 2 bedroom 1 bathroom bungalow with a spacious living room"
"Prospect Heights",820000,4,2,1900,"Spacious 4 bedroom 2 bathroom townhouse with original hardwood floors"
"Soho",1800000,2,2,2000,"Stylish 2 bedroom 2 bathroom loft with soaring ceilings and natural light"
"Upper West Side",1400000,3,3,2200,"Modern 3 bedroom 3 bathroom condo with a private balcony"